x,y,avg_slope,mean_temperature_5_30AM,mean_temperature_6_30PM,mean_temperature_7_00AM,mean_temperature_7_00PM,% Fe/Mg,% Al-OH,% H2O,good_landing_place
0,0,5.420866429421663,188.21938,212.73102,200.14497,214.1989,0.0,0.0,0.0,0
1,0,5.420866429421663,188.52643,212.33095,200.36887,214.07867,0.0,0.0,0.0,0
2,0,5.420866429421663,188.5795,211.79303,200.27722,213.04852,0.0,0.0,0.0,0
3,0,5.420866429421663,188.1476,211.7066,200.47784,214.26196,0.0,0.0,0.0,0
4,0,5.420866429421663,187.59508,211.85237,199.08226,214.33743,0.0,0.0,0.0,0
5,0,5.420866429421663,187.03568,212.7134,198.26433,214.85088,0.0,0.0,0.0,0
6,0,5.420866429421663,187.78374,213.71959,199.43558,214.7603,0.0,0.0,0.0,0
7,0,5.420866429421663,188.67693,213.5796,199.63104,215.08958,0.0,0.0,0.0,0
8,0,5.420866429421663,189.30792,213.6427,199.55482,214.4535,0.0,0.0,0.0,0
9,0,5.420866429421663,189.50919,213.66064,199.63446,214.30276,0.0,0.0,0.0,0
10,0,5.420866429421663,188.99715,213.11833,199.5448,214.41777,0.0,0.0,0.0,0
11,0,5.420866429421663,188.46097,213.33209,198.86703,214.83385,0.0,0.0,0.0,0
12,0,5.420866429421663,188.00233,213.4011,198.9918,214.15721,0.0,0.0,0.0,0
13,0,5.420866429421663,188.56874,213.54755,199.6132,213.92613,0.0,0.0,0.0,0
14,0,5.420866429421663,188.98497,214.14456,201.4144,215.0769,0.0,0.0,0.0,0
15,0,5.420866429421663,189.21002,213.86617,201.24655,215.74861,0.0,0.0,0.0,0
16,0,5.420866429421663,188.8619,213.31862,200.97435,215.40912,0.0,0.0,0.0,0
17,0,5.420866429421663,188.71764,213.3055,201.7636,215.39532,0.0,0.0,0.0,0
18,0,5.420866429421663,187.69261,213.43759,202.71698,216.0559,0.0,0.0,0.0,0
19,0,5.420866429421663,187.02008,213.00783,202.12762,216.04071,0.0,0.0,0.0,0
20,0,5.420866429421663,187.27936,213.40724,202.50644,216.12433,0.0,0.0,0.0,0
21,0,5.420866429421663,186.76117,213.30481,201.82526,216.47589,0.0,0.0,0.0,0
22,0,5.420866429421663,186.78569,213.67877,201.75996,215.72656,0.0,0.0,0.0,0
23,0,5.420866429421663,186.46973,213.895,202.44951,215.59572,0.0,0.0,0.0,0
24,0,5.420866429421663,186.07327,213.829,202.27948,215.84535,0.0,0.0,0.0,0
25,0,5.420866429421663,185.48894,213.67914,201.59964,215.89577,0.0,0.0,0.0,0
26,0,5.420866429421663,185.27039,213.21321,201.31114,215.74835,0.0,0.0,0.0,0
27,0,5.420866429421663,185.50024,213.25546,203.04857,216.15111,0.0,0.0,0.0,0
28,0,5.420866429421663,186.17906,212.68549,203.99017,215.37347,0.0,0.0,0.0,0
29,0,5.420866429421663,186.8753,212.45245,203.32437,215.42653,0.0,0.0,0.0,0
30,0,5.420866429421663,186.63531,211.97198,202.37735,215.66252,0.0,0.0,0.0,0
31,0,5.420866429421663,186.57364,211.87486,202.06577,214.99666,0.0,0.0,0.0,0
32,0,5.420866429421663,186.64526,211.8131,202.3404,214.96555,0.0,0.0,0.0,0
33,0,5.420866429421663,187.10944,211.91809,201.92383,214.74232,0.0,0.0,0.0,0
34,0,5.420866429421663,187.08691,211.69446,200.96869,214.44716,0.0,0.0,0.0,0
35,0,5.420866429421663,187.4096,212.17456,201.28526,214.37677,0.0,0.0,0.0,0
36,0,5.420866429421663,188.49524,212.87706,201.96588,214.95496,0.0,0.0,0.0,0
37,0,5.420866429421663,188.35284,213.07317,203.11694,215.29047,0.0,0.0,0.0,0
38,0,5.420866429421663,187.56886,213.43224,202.61858,215.91637,0.0,0.0,0.0,0
39,0,5.420866429421663,187.46931,213.28114,202.15192,216.23822,0.0,0.0,0.0,0
40,0,5.420866429421663,188.60497,213.02165,202.25763,215.54175,0.0,0.0,0.0,0
